Time (month),H2S Concentration (ppm),Temperature (C),Relative Humidity (%),Surface PH
54.16676916,25,17,100,3.64467451
0.013354114,50,30,100,10.63491278
0.366772296,50,30,100,10.50772089
0.603109059,50,30,100,10.34885179
0.840066943,50,30,100,10.12649026
1.076093145,50,30,100,9.999367376
1.430132448,50,30,100,9.80868305
1.667090333,50,30,100,9.586321522
1.903427096,50,30,100,9.427452424
2.139763859,50,30,100,9.268583325
2.376411182,50,30,100,9.077968012
2.612747945,50,30,100,8.919098914
2.848774148,50,30,100,8.791976029
3.085421471,50,30,100,8.601360716
3.321758234,50,30,100,8.442491618
3.557784436,50,30,100,8.315368733
3.79443176,50,30,100,8.12475342
4.031389645,50,30,100,7.902391893
4.268036968,50,30,100,7.71177658
4.50406317,50,30,100,7.584653696
4.857791913,50,30,100,7.425715584
5.094439236,50,30,100,7.235100271
5.448167979,50,30,100,7.076162159
5.567733884,50,30,100,6.853869645
5.921773187,50,30,100,6.663185319
6.276433612,50,30,100,6.409008563
6.864014631,50,30,100,6.345171067
7.451906211,50,30,100,6.249587357
7.921474129,50,30,100,6.249311303
8.509055148,50,30,100,6.185473806
9.096325606,50,30,100,6.153382525
9.566514645,50,30,100,6.089614042
10.15347454,50,30,100,6.089268974
10.74105556,50,30,100,6.025431478
11.44633912,50,30,100,5.929778754
12.2687041,50,30,100,5.865803231
13.08982683,50,30,100,5.928812565
14.02958379,50,30,100,5.864768028
15.08580105,50,30,100,5.895893121
15.7895318,50,30,100,5.958971469
16.49326256,50,30,100,6.022049816
17.07991189,50,30,100,6.053450963
17.78395321,50,30,100,6.084783096
18.13612915,50,30,100,6.084576056
18.84234439,50,30,100,5.893684689
19.19545201,50,30,100,5.798239005
19.66626217,50,30,100,5.670978094
20.01968035,50,30,100,5.543786196
20.37309853,50,30,100,5.416594298
20.96130067,50,30,100,5.289264374
21.4324214,50,30,100,5.130257248
21.90323156,50,30,100,5.002996337
22.72652822,50,30,100,4.84378217
23.07963584,50,30,100,4.748336487
23.43367514,50,30,100,4.55765216
24.2569718,50,30,100,4.398437994
24.960392,50,30,100,4.493262556
26.01629869,50,30,100,4.556133863
26.83742143,50,30,100,4.619143197
27.89332812,50,30,100,4.682014504
28.59674831,50,30,100,4.776839066
29.41787105,50,30,100,4.8398484
30.47377774,50,30,100,4.902719707
31.29458992,50,30,100,4.997475256
32.23310463,50,30,100,5.060415576
33.28901132,50,30,100,5.123286883
34.11013406,50,30,100,5.186296217
35.04958046,50,30,100,5.153997895
35.87132431,50,30,100,5.153514801
36.57691843,50,30,100,5.026115862
37.16449945,50,30,100,4.962278366
38.33872981,50,30,100,4.929842017
39.39525762,50,30,100,4.929220895
40.56948798,50,30,100,4.896784546
41.39216352,50,30,100,4.801062808
41.74496058,50,30,100,4.737363339
42.56732555,50,30,100,4.673387816
43.74124535,50,30,100,4.672697681
44.79839429,50,30,100,4.60858413
45.62169095,50,30,100,4.449369964
46.09281167,50,30,100,4.290362839
46.79871635,50,30,100,4.131217686
47.62201301,50,30,100,3.97200352
48.21021515,50,30,100,3.844673595
49.03351181,50,30,100,3.685459429
49.38724055,50,30,100,3.526521317
50.09314523,50,30,100,3.367376164
50.91644189,50,30,100,3.208161998
51.85806222,50,30,100,2.953640175
52.68166944,50,30,100,2.762679795
53.50620834,50,30,100,2.476480771
0.131056654,50,25,100,10.60309756
1.071745294,50,25,100,10.44381438
1.543487138,50,25,100,10.22131482
2.249081258,50,25,100,10.09391588
2.837593959,50,25,100,9.934839745
3.309335802,50,25,100,9.712340191
4.132321902,50,25,100,9.584872239
5.073321103,50,25,100,9.393842845
5.545373507,50,25,100,9.139597076
6.368980728,50,25,100,8.948636696
7.074574848,50,25,100,8.821237757
7.546006131,50,25,100,8.630484417
8.252842494,50,25,100,8.376100622
8.605950115,50,25,100,8.280654938
9.311854796,50,25,100,8.121509786
9.782975517,50,25,100,7.96250266
10.13670426,50,25,100,7.803564548
10.84323006,50,25,100,7.580926966
11.5494453,50,25,100,7.390035599
12.37336309,50,25,100,7.167329005
13.31001444,50,25,100,7.420746611
14.13051605,50,25,100,7.547248374
14.83300456,50,25,100,7.737311579
15.41810109,50,25,100,7.927443797
16.47338667,50,25,100,8.053807533
17.17618574,50,25,100,8.212124523
18.34762105,50,25,100,8.465404103
19.52154084,50,25,100,8.464713968
20.45912387,50,25,100,8.622892931
21.28024661,50,25,100,8.685902265
22.10136934,50,25,100,8.748911599
23.86100679,50,25,100,8.874861254
24.56535867,50,25,100,8.874447173
24.91846629,50,25,100,8.77900149
25.62374985,50,25,100,8.683348766
25.97654691,50,25,100,8.619649296
26.56474905,50,25,100,8.492319372
27.15264063,50,25,100,8.396735661
27.74084277,50,25,100,8.269405736
28.44643689,50,25,100,8.142006798
28.91693649,50,25,100,8.046492101
29.74023315,50,25,100,7.887277935
30.32874585,50,25,100,7.728201796
31.03433997,50,25,100,7.600802857
31.73962353,50,25,100,7.505150133
32.56229907,50,25,100,7.409428396
33.50329827,50,25,100,7.218399002
34.20889239,50,25,100,7.091000063
34.91417595,50,25,100,6.995347339
35.38529667,50,25,100,6.836340214
36.09089079,50,25,100,6.708941275
36.56139039,50,25,100,6.613426578
37.26729507,50,25,100,6.454281426
37.85549721,50,25,100,6.326951501
38.56078077,50,25,100,6.231298777
38.91388839,50,25,100,6.135853093
39.50209053,50,25,100,6.008523168
39.97259013,50,25,100,5.913008471
40.67787369,50,25,100,5.817355747
41.14837329,50,25,100,5.72184105
41.85427797,50,25,100,5.562695898
42.44279068,50,25,100,5.403619759
42.67881688,50,25,100,5.276496874
43.384411,50,25,100,5.149097936
43.8549106,50,25,100,5.053583239
44.56019416,50,25,100,4.957930515
45.3828697,50,25,100,4.862208777
45.73721956,50,25,100,4.639778237
46.4434348,50,25,100,4.44888687
47.26704202,50,25,100,4.257926489
47.85555472,50,25,100,4.09885035
48.4434463,50,25,100,4.003266639
49.03195901,50,25,100,3.8441905
49.73817425,50,25,100,3.653299133
50.56209203,50,25,100,3.430592538
51.15060473,50,25,100,3.271516399
51.73911743,50,25,100,3.11244026
52.09222505,50,25,100,3.016994577
52.91583227,50,25,100,2.826034196
53.62080527,50,25,100,2.762127686
0.836961335,50,17,100,10.4439524
1.190068956,50,17,100,10.34850672
